TYPE,full score,part/s - written,part - recorded,score and part/s,piano reduction,vocal score,graphic score - full score,graphic score - parts,miniature score,chord chart,reduced score
FORMATS,pdf - facsimile,pdf - facsimile,CD,pdf - facsimile,pdf - facsimile,pdf - facsimile,pdf - facsimile,pdf - facsimile,pdf - facsimile,pdf - facsimile,pdf - facsimile
pdf - facsimile,pdf - computer set,pdf - computer set,DVD,pdf - computer set,pdf - computer set,pdf - computer set,pdf - computer set,pdf - computer set,pdf - computer set,pdf - computer set,pdf - computer set
pdf - computer set,hardcopy - facsimile,hardcopy - facsimile,digital sound file - MP3,hardcopy - facsimile,hardcopy - facsimile,hardcopy - facsimile,hardcopy - facsimile,hardcopy - facsimile,hardcopy - facsimile,hardcopy - facsimile,hardcopy - facsimile
hardcopy - facsimile,hardcopy - computer set,hardcopy - computer set,digital sound file - bwf,hardcopy - computer set,hardcopy - computer set,hardcopy - computer set,hardcopy - computer set,hardcopy - computer set,hardcopy - computer set,hardcopy - computer set,hardcopy - computer set
hardcopy - computer set,,,digital sound file - wav
CD,,,digital movie
DVD,,,Mini DV
digital sound file - MP3,,,cassette
digital sound file - bwf,,,vinyl (LP or EP)
digital sound file - wav,,,DAT
digital movie,,,video
Mini DV
cassette
vinyl (LP or EP)
DAT
video