TYPES,,biography,history,education resource,industry manual - NZ,industry manual - other,commentary or analysis,documentary,bibliography,music theory,DUPLICATE,interview,programme note,review,sheet music,lyrics / libretti,NZ recordings - other genres,NZ recordings - not by SOUNZ composers
book - hardcover,,book - hardcover,book - hardcover,book - hardcover,book - hardcover,book - hardcover,book - hardcover,book - hardcover,book - hardcover,book - hardcover,book - hardcover,book - hardcover,book - hardcover,book - hardcover,book - hardcover,book - hardcover,CD,CD
book or booklet - paperback,,book or booklet - paperback,book or booklet - paperback,book or booklet - paperback,book or booklet - paperback,book or booklet - paperback,book or booklet - paperback,book or booklet - paperback,book or booklet - paperback,book or booklet - paperback,book or booklet - paperback,book or booklet - paperback,book or booklet - paperback,book or booklet - paperback,book or booklet - paperback,book or booklet - paperback,DVD,DVD
magazine,,magazine,magazine,magazine,magazine,magazine,magazine,magazine,magazine,magazine,magazine,magazine,magazine,magazine,magazine,magazine,CD Rom,CD Rom
journal,,journal,journal,journal,journal,journal,journal,journal,journal,journal,journal,journal,journal,journal,journal,journal,video,video
kit,,kit,kit,kit,kit,kit,kit,kit,kit,kit,kit,kit,kit,kit,kit,kit,digital sound file,digital sound file
pdf,,pdf,pdf,pdf,pdf,pdf,pdf,pdf,pdf,pdf,DVD,pdf,pdf,pdf,pdf,pdf,cassette,cassette
text,,text,text,text,text,text,text,text,text,text,CD,text,text,text,text,text,DAT,DAT
CD,,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD Rom,CD,CD,CD,CD,CD,podcast,podcast
DVD,,DVD,DVD,DVD,DVD,DVD,DVD,DVD,DVD,DVD,video,DVD,DVD,DVD,DVD,DVD,website,website
CD Rom,,CD Rom,CD Rom,CD Rom,CD Rom,CD Rom,CD Rom,CD Rom,CD Rom,CD Rom,digital sound file,CD Rom,CD Rom,CD Rom,CD Rom,CD Rom
video,,video,video,video,video,video,video,video,video,video,cassette,video,video,video,video,video
digital sound file,,digital sound file,digital sound file,digital sound file,digital sound file,digital sound file,digital sound file,digital sound file,digital sound file,digital sound file,pdf,digital sound file,digital sound file,digital sound file,digital sound file,digital sound file
cassette,,cassette,cassette,cassette,cassette,cassette,cassette,cassette,cassette,cassette,DAT,cassette,cassette,cassette,cassette,cassette
DAT,,DAT,DAT,DAT,DAT,DAT,DAT,DAT,DAT,DAT,text,DAT,DAT,DAT,DAT,DAT
podcast,,podcast,podcast,podcast,podcast,podcast,podcast,podcast,podcast,podcast,podcast,podcast,podcast,podcast,podcast,podcast
website,,website,website,website,website,website,website,website,website,website,,website,website,website,website,website